,parameter,unit_value,emod_value,type,param_set,min,max,team_default,transformation
0,Temperature_Shift,tensor(0.7081),tensor(2.0810),double,1.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.4418),tensor(0.3422),double,1.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1816),tensor(0.0028),double,1.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7657),tensor(133.5713),double,1.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7749),tensor(2.7495),double,2.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3555),tensor(0.0699),double,2.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1779),tensor(0.0027),double,2.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7631),tensor(127.3270),double,2.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7548),tensor(2.5484),double,3.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.2635),tensor(0.0128),double,3.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1808),tensor(0.0028),double,3.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7659),tensor(134.0551),double,3.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.6736),tensor(1.7360),double,4.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.2844),tensor(0.0188),double,4.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1886),tensor(0.0032),double,4.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7701),tensor(144.7880),double,4.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7512),tensor(2.5123),double,5.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3411),tensor(0.0536),double,5.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1727),tensor(0.0024),double,5.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7617),tensor(124.0788),double,5.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7380),tensor(2.3803),double,6.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3046),tensor(0.0273),double,6.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1945),tensor(0.0036),double,6.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7674),tensor(137.6900),double,6.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7033),tensor(2.0329),double,7.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3491),tensor(0.0620),double,7.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1832),tensor(0.0029),double,7.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7635),tensor(128.3079),double,7.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.6881),tensor(1.8812),double,8.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3954),tensor(0.1455),double,8.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1849),tensor(0.0030),double,8.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7691),tensor(142.0966),double,8.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7109),tensor(2.1088),double,9.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3826),tensor(0.1151),double,9.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1903),tensor(0.0033),double,9.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7654),tensor(132.8826),double,9.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7635),tensor(2.6351),double,10.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3463),tensor(0.0590),double,10.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1836),tensor(0.0029),double,10.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7644),tensor(130.4491),double,10.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7607),tensor(2.6066),double,11.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3608),tensor(0.0770),double,11.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1888),tensor(0.0032),double,11.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7672),tensor(137.1893),double,11.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7539),tensor(2.5388),double,12.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.2947),tensor(0.0228),double,12.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1797),tensor(0.0027),double,12.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7644),tensor(130.3708),double,12.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7440),tensor(2.4402),double,13.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3684),tensor(0.0886),double,13.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1851),tensor(0.0030),double,13.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7686),tensor(140.9074),double,13.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.6984),tensor(1.9838),double,14.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3618),tensor(0.0785),double,14.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1918),tensor(0.0034),double,14.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7696),tensor(143.4517),double,14.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7352),tensor(2.3516),double,15.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3432),tensor(0.0556),double,15.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1874),tensor(0.0032),double,15.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7694),tensor(142.8240),double,15.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.7055),tensor(2.0552),double,16.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.2885),tensor(0.0203),double,16.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.1901),tensor(0.0033),double,16.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7668),tensor(136.3200),double,16.0,-4.0,4.0,,log
