,parameter,unit_value,emod_value,type,param_set,min,max,team_default,transformation
0,Temperature_Shift,tensor(0.6806),tensor(1.8062),double,1.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3934),tensor(0.1404),double,1.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6708),tensor(23.2352),double,1.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7402),tensor(83.4311),double,1.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.6085),tensor(1.0845),double,2.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3175),tensor(0.0347),double,2.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6786),tensor(26.8488),double,2.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7554),tensor(110.4273),double,2.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.4648),tensor(-0.3516),double,3.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.4330),tensor(0.2911),double,3.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6716),tensor(23.6069),double,3.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7748),tensor(157.8640),double,3.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.4547),tensor(-0.4527),double,4.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.4675),tensor(0.5491),double,4.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6727),tensor(24.0636),double,4.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7810),tensor(177.1424),double,4.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.6309),tensor(1.3094),double,5.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.4845),tensor(0.7515),double,5.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6847),tensor(30.0323),double,5.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7765),tensor(163.0654),double,5.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.6476),tensor(1.4762),double,6.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.4234),tensor(0.2439),double,6.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6784),tensor(26.7605),double,6.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7830),tensor(183.7900),double,6.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.5415),tensor(0.4148),double,7.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3959),tensor(0.1471),double,7.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6757),tensor(25.4535),double,7.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7562),tensor(112.0845),double,7.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.6921),tensor(1.9215),double,8.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.4070),tensor(0.1801),double,8.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6702),tensor(23.0136),double,8.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7463),tensor(93.4654),double,8.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.6273),tensor(1.2731),double,9.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3326),tensor(0.0458),double,9.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6731),tensor(24.2739),double,9.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7490),tensor(98.1604),double,9.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.6424),tensor(1.4239),double,10.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.5099),tensor(1.1991),double,10.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6796),tensor(27.3353),double,10.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7723),tensor(150.6920),double,10.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.6119),tensor(1.1187),double,11.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.3620),tensor(0.0787),double,11.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6811),tensor(28.0977),double,11.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7644),tensor(130.2722),double,11.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.5078),tensor(0.0779),double,12.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.4279),tensor(0.2649),double,12.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6794),tensor(27.2537),double,12.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7782),tensor(167.9639),double,12.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.5141),tensor(0.1406),double,13.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.4726),tensor(0.6034),double,13.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6788),tensor(26.9445),double,13.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7719),tensor(149.6385),double,13.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.5756),tensor(0.7562),double,14.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.5130),tensor(1.2696),double,14.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6719),tensor(23.7225),double,14.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7807),tensor(175.9848),double,14.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.5963),tensor(0.9631),double,15.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.4803),tensor(0.6962),double,15.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6755),tensor(25.3507),double,15.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7579),tensor(115.7210),double,15.0,-4.0,4.0,,log
0,Temperature_Shift,tensor(0.5666),tensor(0.6656),double,16.0,-5.0,5.0,,none
1,CONST_Multiplier,tensor(0.4203),tensor(0.2304),double,16.0,-4.0,4.0,,log
2,TEMPR_Multiplier,tensor(0.6726),tensor(24.0391),double,16.0,-4.0,4.0,,log
3,WATEV_Multiplier,tensor(0.7699),tensor(144.2482),double,16.0,-4.0,4.0,,log
