agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
5,1,2.363199658692,159.6,2015,0,12.0
100,1,1.074296794832,792.7666666667,2015,0,12.0
5,2,2.787441730499,157.1333333333,2015,0,12.0
100,2,0.8439484005794,792.9,2015,0,12.0
5,3,2.970575854182,159.7333333333,2015,0,12.0
100,3,0.8151784390211,791.0333333333,2015,0,12.0
5,4,2.272255718708,160.6333333333,2015,0,12.0
100,4,0.864892333746,787.7666666667,2015,0,12.0
5,5,2.521457076073,159.2333333333,2015,0,12.0
100,5,0.6966830883175,785.8666666667,2015,0,12.0
5,6,1.817427456379,160.6666666667,2015,0,12.0
100,6,0.4654425010085,784.2,2015,0,12.0
5,7,2.025277487934,162.2,2015,0,12.0
100,7,0.5598159469664,782.4,2015,0,12.0
5,8,2.882976472378,160.3666666667,2015,0,12.0
100,8,1.023321026936,784.7,2015,0,12.0
5,9,3.87893293798,159.9666666667,2015,0,12.0
100,9,1.237288117409,786.6666666667,2015,0,12.0
5,10,4.857558727264,160.3,2015,0,12.0
100,10,1.481043130159,788.6333333333,2015,0,12.0
5,11,3.836562171578,161.7333333333,2015,0,12.0
100,11,1.437616509385,787.0666666667,2015,0,12.0
5,12,3.262993715703,160.3333333333,2015,0,12.0
100,12,1.50282270927,785.3,2015,0,12.0
5,1,3.606422424316,161.9333333333,2016,0,12.0
100,1,0.9321132302284,783.1666666667,2016,0,12.0
5,2,3.699069403112,161.1666666667,2016,0,12.0
100,2,1.212056731805,782.9666666667,2016,0,12.0
5,3,3.297741413116,162.3333333333,2016,0,12.0
100,3,0.9476887863129,783.1333333333,2016,0,12.0
5,4,2.71207433939,161.5,2016,0,12.0
100,4,0.7614850560203,782.9,2016,0,12.0
5,5,2.713194429874,161.4333333333,2016,0,12.0
100,5,0.7453733235598,783.5,2016,0,12.0
5,6,2.214435093105,159.3333333333,2016,0,12.0
100,6,0.820572658442,785.8333333333,2016,0,12.0
5,7,0.9072079360485,160.9333333333,2016,0,12.0
100,7,0.5876869764179,786.7,2016,0,12.0
5,8,1.357157662511,161.3666666667,2016,0,12.0
100,8,0.6334391487762,787.5,2016,0,12.0
5,9,2.274387590587,155.1333333333,2016,0,12.0
100,9,0.9868615865707,789.0333333333,2016,0,12.0
5,10,2.113446190953,155.4333333333,2016,0,12.0
100,10,1.189982227981,787.2666666667,2016,0,12.0
5,11,2.462995156646,153.1333333333,2016,0,12.0
100,11,1.142990132794,787.7,2016,0,12.0
5,12,5.503325760365,150.3333333333,2016,0,12.0
100,12,1.264576628804,788.9333333333,2016,0,12.0
5,1,3.054393291473,151.3666666667,2017,0,12.0
100,1,0.9844908714294,790.9333333333,2017,0,12.0
5,2,3.10333558917,152.9,2017,0,12.0
100,2,0.8900193292648,792.8666666667,2017,0,12.0
5,3,2.536373615265,153.5,2017,0,12.0
100,3,0.844267825596,792.6,2017,0,12.0
5,4,2.412065558136,156.3666666667,2017,0,12.0
100,4,0.5221965108067,792.1666666667,2017,0,12.0
5,5,2.258374229074,156.2333333333,2017,0,12.0
100,5,0.6449034400284,792.3666666667,2017,0,12.0
5,6,2.032555058599,155.6333333333,2017,0,12.0
100,6,0.5240045487881,789.4333333333,2017,0,12.0
5,7,1.626697830856,157.0666666667,2017,0,12.0
100,7,0.5865933466703,788.1666666667,2017,0,12.0
5,8,1.526238769293,159.4333333333,2017,0,12.0
100,8,1.100284484215,785.1,2017,0,12.0
5,9,1.358841821551,161.1666666667,2017,0,12.0
100,9,0.8707877248526,782.4333333333,2017,0,12.0
5,10,2.385133743286,163.2333333333,2017,0,12.0
100,10,1.461430331692,782.5666666667,2017,0,12.0
5,11,2.696685425937,166.9333333333,2017,0,12.0
100,11,1.150928920135,782.2666666667,2017,0,12.0
5,12,5.627594187856,168.6333333333,2017,0,12.0
100,12,1.071975840256,783.1333333333,2017,0,12.0
5,1,3.899572566152,171.6,2018,0,12.0
100,1,0.9825663361698,780.1,2018,0,12.0
5,2,3.092029243708,173.1333333333,2018,0,12.0
100,2,0.7981733903289,777.4,2018,0,12.0
5,3,2.520621478558,173.7666666667,2018,0,12.0
100,3,0.6110229101032,776.5666666667,2018,0,12.0
5,4,2.330954268575,177.4666666667,2018,0,12.0
100,4,0.6434345189482,775.2666666667,2018,0,12.0
5,5,2.699601754546,175.7666666667,2018,0,12.0
100,5,0.6102632079273,777.5333333333,2018,0,12.0
5,6,2.03440323472,173.4333333333,2018,0,12.0
100,6,0.4680087324232,779.9,2018,0,12.0
5,7,0.7669531926513,174.5,2018,0,12.0
100,7,0.3594981245697,778.4,2018,0,12.0
5,8,0.4174609333277,174.8666666667,2018,0,12.0
100,8,0.6779111847281,771.7333333333,2018,0,12.0
5,9,1.444591015577,176.8666666667,2018,0,12.0
100,9,0.725426658988,771.5,2018,0,12.0
5,10,1.890466108918,173.7666666667,2018,0,12.0
100,10,1.605225764215,773.1,2018,0,12.0
5,11,1.652884371579,169.3,2018,0,12.0
100,11,1.208349494264,775.3,2018,0,12.0
5,12,7.256460934877,167.6666666667,2018,0,12.0
100,12,1.050517581403,775.9666666667,2018,0,12.0
5,1,3.419694215059,174.3333333333,2015,0,9.0
100,1,1.215942878276,840.5,2015,0,9.0
5,2,3.467604145408,175.4333333333,2015,0,9.0
100,2,0.855446071364,839.1333333333,2015,0,9.0
5,3,2.133697845042,176.7666666667,2015,0,9.0
100,3,0.6098337303847,837.9333333333,2015,0,9.0
5,4,1.451154917479,176.0666666667,2015,0,9.0
100,4,0.7382803391665,840.4666666667,2015,0,9.0
5,5,2.053253352642,177.7666666667,2015,0,9.0
100,5,0.5230475217104,837.4,2015,0,9.0
5,6,2.452333256602,183.5666666667,2015,0,9.0
100,6,0.5236102826893,836.5,2015,0,9.0
5,7,2.228007152677,185.6666666667,2015,0,9.0
100,7,0.5383266182616,836.2333333333,2015,0,9.0
5,8,3.122438192368,187.0333333333,2015,0,9.0
100,8,0.9332800507545,834.3333333333,2015,0,9.0
